vertex1,vertex2
1164324,3791477
1075683,2462853
2250955,5531874
2250955,4428760
5531874,4428760
3257978,3314372
3729227,2939004
3729227,5158616
3729227,6080623
2939004,5158616
2939004,6080623
5158616,6080623
1366094,148495
5242423,1004642
6484461,627809
562207,6584323
4265843,3828025
918728,20639
692580,1092019
3543851,5934512
2691432,5829343
6418548,4604029
1975742,1493432
128970,1075683
128970,1444498
128970,2462853
3601652,1075683
3601652,2462853
1444498,2462853
1444498,1075683
5864563,6626435
3647680,6219445
911149,1404417
2360483,6626435
1749171,1493432
6207676,819979
5534868,2917012
4506013,1164324
4506013,3791477
932261,5105825
932261,4291076
932261,1114658
932261,1710151
932261,3263826
5105825,1114658
5105825,3263826
5105825,1710151
5105825,4291076
1114658,1710151
1114658,4291076
1114658,3263826
3263826,1710151
3263826,4291076
76469,1600012
5229476,4031975
1710151,4291076
5811113,1444498
5811113,1075683
5811113,128970
5811113,2462853
3601652,3604617
1075683,3604617
3604617,2462853
1493432,370181
4014032,3729227
4014032,2939004
4014032,5158616
4014032,6080623
2252902,6080623
2252902,2939004
2252902,5158616
2252902,3729227
6057992,4322820
4068497,5158616
4068497,6080623
4068497,3729227
4068497,2939004
5281636,4900754
4322820,370345
1975742,370181
2401286,6510338
4149328,3604617
482863,3601652
482863,1444498
482863,1075683
482863,2462853
2180977,370181
2785774,3001239
2785774,5249688
1826047,4973860
2883963,3002842
961144,2485396
5242423,4900754
6056052,4611959
6056052,2146304
884509,2195155
3376940,5429471
3376940,2026073
5429471,2026073
5018205,3043590
4474298,4840645
3007590,2420712
905411,4719724
6230305,4617384
6230305,3739617
4611959,2146304
1004642,4900754
537649,3157392
4617384,3739617
4189094,3604617
1493432,842904
5861909,3604617
5861909,4149328
5844670,4953554
2500334,1219485
5575790,5158616
5575790,6080623
5575790,3729227
5575790,2939004
6576538,4604029
700906,4900754
3729227,4025123
2939004,4025123
5158616,4025123
4025123,6080623
1975742,1749171
1749171,3150711
1975742,2180977
4840645,4790288
233298,1493432
5658306,1691335
812953,3370108
6347405,5281636
5554611,1262731
945562,3828025
4189094,5861909
1749171,2180977
