vertex1,vertex2
1601782,4637992
5517262,483785
3373875,1852520
728419,5569339
3373875,6304355
1975742,1493432
1975742,370181
3373875,3734429
5725967,2054328
1975742,2180977
3373875,6585119
1601782,5600254
5328137,5474722
1601782,1722960
1975742,1749171
1975742,233298
1493432,370181
3373875,5214514
3373875,2761458
5264689,1197058
1749171,1493432
6293865,404429
2180977,370181
5264689,2571570
3373875,3811376
1975742,842904
1493432,2180977
39404,6005375
3373875,160330
1493432,842904
1749171,370181
233298,370181
233298,1493432
1749171,2180977
1601782,3101833
3150711,1493432
1975742,3150711
3160263,357808
233298,2180977
6204376,1156993
1975742,4771220
1975742,4261316
3373875,3889557
1749171,3150711
4771220,370181
842904,370181
5086541,6382007
1493432,4261316
4049134,4248485
3150711,370181
1749171,842904
728419,2212571
1749171,233298
3150711,2180977
2180977,4261316
1975742,6151022
3160263,6470832
370181,4261316
4771220,2180977
5264689,6039777
3160263,907675
2180977,842904
233298,842904
1852520,5214514
233298,3150711
3373875,1481040
1830537,6505889
3373875,531273
1975742,4138638
6151022,1493432
6151022,370181
3373875,3682939
5086541,2091918
1830537,1231856
1975742,4534966
4637992,1722960
3373875,3410949
1852520,6304355
4510067,6022108
6151022,233298
6151022,2180977
4799136,3919896
1852520,3734429
3413940,1713484
2761458,3734429
3811376,5214514
6585119,5214514
5725967,1768780
233298,4261316
1975742,518189
3734429,5214514
3160263,5946517
1749171,4261316
1493432,4534966
3160263,5688724
5725967,634192
3150711,842904
6585119,6304355
2761458,5214514
1749171,6151022
5264689,2366109
1975742,6531948
4637992,5600254
3811376,6585119
4534966,370181
4771220,1749171
3413940,3712408
1601782,6291618
1852520,3811376
3160263,6292161
3909031,5173706
3413940,999642
1493432,6531948
3373875,6007109
3413940,2546336
4771220,1493432
3409772,6117979
3150711,4261316
6163541,370181
3373875,5832208
4049134,5076066
3373875,5728953
518189,1493432
842904,4261316
4771220,233298
5086541,3797119
5264689,5421757
1852520,2761458
6151022,842904
4049134,1526382
3373875,2983439
6321633,4843694
3811376,6304355
233298,4534966
370181,6531948
4138638,370181
6304355,5214514
347920,370181
1493432,4138638
1975742,347920
1493432,6163541
1749171,4534966
1722960,5600254
3889557,5214514
6151022,4261316
3811376,3734429
6151022,3150711
1975742,6163541
518189,842904
3160263,6543719
1962669,3784556
728419,56621
6156590,6032325
233298,518189
3734429,6304355
2180977,4138638
518189,2180977
728419,4044296
1852520,3889557
3811376,2761458
1975742,4236888
1975742,1607488
518189,370181
1852520,6585119
1975742,5854541
1493432,5854541
3160263,4886779
5517262,6163753
1852520,160330
3373875,794708
3682939,3734429
3682939,2761458
2469248,5483374
3373875,1615576
2180977,4534966
1749171,6531948
6156590,4385658
4771220,3150711
3734429,531273
3734429,6585119
3373875,984922
3889557,3734429
1493432,4236888
3413940,4274154
2180977,6163541
3889557,2761458
5600254,3101833
3889557,3811376
3682939,3811376
4799136,3415799
5076066,1526382
5569339,1544560
39404,4740311
1493432,347920
3150711,4534966
2328115,2002510
5725967,1028282
1852520,3682939
4116529,4841886
2180977,6531948
3889557,6304355
6382007,2091918
3160263,6299391
1481040,3734429
3373875,3643327
1749171,518189
5086541,2478487
3160263,2695608
1975742,2656612
3811376,1481040
2545879,1520542
4280405,6321078
3682939,6304355
3410949,3734429
2656612,1493432
3373875,4808250
3150711,6163541
4771220,6151022
842904,4534966
233298,6531948
1481040,2761458
3889557,6585119
3590070,6299248
2761458,6304355
1975742,2156572
1962669,1040134
1601782,3470733
1559813,2671707
1481040,5214514
728419,880273
1526382,4248485
160330,6304355
2180977,347920
233298,4138638
1830537,1973132
4771220,842904
4771220,4261316
3373875,576759
3373875,6117798
2656612,370181
6373900,4116529
5264689,3574034
233298,6163541
3682939,5214514
1601782,3898884
5725967,2044905
1975742,1979314
2156572,842904
5076066,4248485
6271404,370181
4799136,4750195
1975742,1834931
1830537,6572910
5725967,4001214
6163541,4261316
5854541,370181
3150711,6531948
3811376,160330
3413940,5724013
5569339,2212571
4799136,5248820
39404,5496566
1749171,6163541
3889557,531273
39404,1318834
4138638,4261316
4280405,2382372
3373875,5489832
6271404,1975742
39404,5150205
671865,2408091
5264689,1306248
1493432,1607488
160330,5214514
5086541,3536053
531273,5214514
1979314,370181
4236888,370181
1979314,233298
250453,5471736
2156572,1493432
4534966,4261316
2180977,4236888
1493432,1834931
2656612,842904
1749171,347920
1749171,5854541
4637992,3101833
233298,347920
4116529,2115114
5854541,4261316
518189,3150711
842904,6531948
5086541,5778163
3160263,3529150
2436444,3217884
6151022,4534966
5086541,4024944
1607488,370181
531273,6585119
5264689,628797
5725967,6331727
4049134,2357394
1713484,4274154
2180977,5854541
2761458,531273
2656612,233298
3811376,531273
6271404,1493432
1979314,2180977
1834931,370181
728419,3162138
39404,3373724
39404,1429614
3373875,2321439
6151022,518189
6151022,6163541
518189,4261316
3150711,4138638
1852520,531273
1481040,6304355
842904,5854541
1713484,999642
2761458,6585119
6472058,370181
1493432,6472058
1979314,1493432
1749171,1607488
3150711,347920
3919896,4750195
233298,1607488
1852520,1481040
6271404,2180977
5569339,4044296
3682939,1481040
3410949,5214514
1975742,476206
3160263,4922942
253926,5302040
842904,6163541
1601782,854788
5608660,2686835
3373875,132538
6271404,233298
4049134,2163964
3413940,3994447
3734429,5728953
3150711,5854541
2656612,2180977
1830537,3409787
421447,3794139
531273,6304355
39404,2627359
2656612,4261316
5569339,56621
4280405,1050162
2156572,370181
6151022,347920
4049134,5389409
1975742,6472058
3413940,4604564
3373875,648863
728419,1490688
5728953,5214514
6271404,1749171
2761458,5728953
4049134,663394
3410949,2761458
3715834,5925111
4771220,518189
4049134,5471363
2180977,476206
3919896,3415799
5706007,3746826
1749171,4236888
3410949,531273
3802490,3624769
233298,4236888
4280405,1455344
233298,5854541
3811376,2983439
6321633,4036936
483785,6163753
3987138,2176972
3811376,3410949
4771220,4534966
1493432,476206
1979314,1749171
4236888,4261316
370181,476206
1481040,6585119
1979314,3150711
3889557,5728953
1749171,2656612
233298,1834931
5569339,880273
3734429,6117798
3373875,1206312
3811376,6007109
3373875,1673369
160330,6585119
6299248,3828414
1979314,842904
3413940,1538922
2180977,1834931
2180977,6472058
1430229,6579903
518189,4534966
233298,6472058
3734429,5832208
2571570,6039777
842904,347920
2436444,806770
6204376,2476009
1713484,3994447
3160263,3042349
3373875,4435594
3413940,4111017
3811376,794708
4771220,6163541
2571570,2366109
5721984,5618209
842904,476206
39404,3487238
6151022,6531948
3373875,920790
1601782,5912721
1830537,1476130
347920,4261316
1852520,4808250
1975742,5649389
1749171,1834931
1852520,1615576
5264689,6319554
3410949,6304355
6151022,4236888
4510553,6259417
233298,476206
6382007,2478487
1975742,5636738
160330,2983439
1979314,4771220
2357394,5076066
3413940,6442012
3797119,2091918
6271404,842904
2983439,5214514
3373875,4771944
5725967,1611019
3734429,576759
1722960,3101833
1975742,3643230
2357394,4248485
3150711,6472058
3734429,6007109
1607488,842904
1852520,2321439
4799136,3767597
794708,5214514
6472058,4261316
6163541,4534966
1979314,4261316
6271404,3150711
3150711,1607488
880273,1544560
663394,4248485
6271404,4261316
3889557,1481040
5086541,6191707
6156590,1638581
5496566,6005375
2156572,2180977
4261316,6531948
6321633,196019
233298,2156572
250453,4028963
3150711,4236888
4579662,1493432
3797119,6382007
2357394,1526382
6382007,4024944
1749171,6472058
6151022,4138638
3373875,3535557
5636738,2180977
965699,1611120
3919896,6061372
3160263,6126116
1089493,4065374
1975742,4380393
3150711,1834931
5569339,3162138
4138638,4534966
6151022,476206
3682939,3889557
1607488,2180977
5264689,6579943
5649389,1493432
4915414,370181
1852520,984922
6271404,6151022
1975742,207914
1749171,2156572
1979314,6151022
4771220,4138638
3373875,719221
5636738,370181
3734429,648863
5264689,5622785
4036258,4383580
4799136,4199033
5569339,1490688
728419,5627791
6151022,5854541
4771220,6531948
6151022,1607488
3382618,4210193
6299248,4100933
2761458,6007109
5328137,2863924
3373875,3586699
1713484,2546336
1975742,2347594
628797,5421757
1975742,4579662
2761458,576759
842904,4236888
39404,4825056
1852520,2983439
3413940,5810654
3889557,3410949
39404,5951752
1975742,3439135
39404,837790
2761458,1615576
3373875,882450
4116529,3889934
6151022,2656612
