vertex1,vertex2
5725967,2054328
3373875,3734429
5725967,634192
5725967,5471360
3373875,1852520
3373875,6304355
1601782,4637992
3373875,2761458
3373875,5214514
3160263,6470832
3373875,3811376
3373875,6585119
3160263,357808
5725967,6331727
5725967,1324974
3160263,5688724
5264689,2571570
5264689,2366109
5725967,224876
3160263,6292161
5725967,3000130
5725967,5811106
5725967,1028282
5725967,1768780
3373875,3889557
3373875,160330
1601782,5600254
5725967,5259397
3373875,1481040
1601782,1722960
3373875,3410949
3373875,531273
3160263,907675
5725967,1708763
3373875,3682939
3160263,4922942
5725967,2044905
5725967,1611019
5725967,3614102
3373875,6007109
5725967,4001214
3413940,1538922
5264689,1197058
3160263,6543719
3160263,4886779
3373875,5728953
3373875,6292377
5725967,27793
5264689,6039777
3413940,1713484
3413940,2546336
3413940,999642
1975742,370181
1601782,3101833
3160263,2695608
3160263,5946517
1975742,1493432
728419,5569339
3373875,2983439
3373875,5832208
3413940,6227951
3856016,3160263
5264689,5421757
3373875,794708
3413940,6442012
3373875,3643327
5264689,3574034
3160263,6299391
1975742,2180977
5725967,5587128
3373875,4808250
3373875,1615576
3160263,6126116
3413940,3994447
5725967,238753
5725967,3362776
5725967,1261447
3373875,6117798
1493432,370181
5725967,6294333
5725967,2051978
5725967,2748726
1852520,3734429
3413940,3712408
3413940,4604564
1975742,1749171
3373875,576759
3373875,5489832
1975742,233298
5725967,4979381
5725967,2008491
5264689,6443949
1191152,3168248
3413940,4274154
3734429,6304355
3160263,3529150
3373875,984922
3373875,4621703
3373875,132538
2180977,370181
5264689,628797
1493432,2180977
1975742,842904
3373875,4435594
3373875,648863
3373875,1673369
1975742,3150711
3160263,44223
5725967,5183663
5725967,3101400
1601782,192767
1975742,4261316
2761458,3734429
3734429,5214514
5264689,6579943
3160263,1531682
3160263,3042349
1749171,370181
3373875,1206312
5725967,3895602
5725967,4298453
1749171,1493432
233298,370181
3413940,2859005
3811376,3734429
3734429,6585119
233298,1493432
1601782,6291618
3373875,4771944
3373875,920790
3373875,2321439
1852520,6304355
1975742,4771220
3373875,882450
3373875,3535557
5264689,5524726
3168248,2054328
1975742,6151022
842904,370181
3160263,3485967
3160263,444126
1749171,2180977
1601782,3898884
1601782,3470733
3373875,719221
3373875,3586699
1493432,842904
3150711,370181
5725967,3760690
5725967,730701
5725967,183714
5725967,4470746
233298,2180977
3413940,4111017
3413940,5724013
5264689,1306248
1962669,2327550
3150711,1493432
3734429,3194983
1852520,2761458
1852520,5214514
3373875,3439132
3373875,3640594
3373875,4503476
3373875,888221
3160263,4058295
39404,6005375
370181,4261316
6321633,35333
5725967,1798783
5725967,3710136
1493432,4261316
3889557,3734429
160330,3734429
1852520,3811376
1852520,6585119
26306,1191152
1601782,2552898
1601782,5912721
3413940,4202694
2180977,842904
3160263,2667730
3160263,4923176
1749171,233298
1975742,4534966
2761458,6304355
6304355,5214514
3150711,2180977
5264689,2026162
5264689,4968178
5264689,1310286
3413940,2408066
4771220,370181
1601782,6527883
3373875,2509412
3373875,5224947
3373875,5112246
1481040,3734429
5725967,6302771
5725967,1250096
1975742,4138638
4771220,1493432
728419,4044296
728419,880273
3410949,3734429
3734429,531273
3811376,6304355
6585119,6304355
3413940,4839663
2180977,4261316
3160263,3134723
3160263,6527232
1975742,518189
1975742,2156572
1975742,6531948
1601782,854788
3373875,5002373
6151022,370181
5264689,1816866
5264689,5529419
5264689,6319554
5264689,3819868
5264689,5622785
250453,4028963
6151022,1493432
26306,3168248
1975742,6163541
1749171,842904
5725967,1981561
5725967,1298325
5725967,3026945
3682939,3734429
634192,1191152
965699,6565057
3373875,742222
3373875,4107227
3373875,147999
2761458,5214514
233298,842904
1749171,3150711
3734429,6007109
5264689,2913054
3160263,3427383
4771220,2180977
1852520,160330
1852520,3889557
233298,3150711
3413940,5810654
728419,2212571
1975742,347920
4948838,1191152
3734429,5923422
1958921,2180977
3811376,5214514
3811376,2761458
2761458,6585119
6585119,5214514
3373875,6344128
1749171,4261316
5725967,4006977
5725967,6108936
5725967,5906379
5725967,4690694
2028080,3194983
4116529,2115114
4116529,4841886
3413940,996429
3413940,4354094
6151022,2180977
233298,4261316
1852520,1481040
5264689,2667118
4534966,370181
3160263,4222980
3160263,818541
3811376,6585119
3373875,2654587
1191152,4530282
26306,2054328
3734429,5728953
1852520,531273
1852520,3410949
634192,3168248
4116529,3479641
3889557,6304355
160330,6304355
1493432,4534966
3150711,842904
3413940,1494735
4138638,370181
4771220,1749171
5725967,4175885
5725967,2096892
5725967,5751830
5725967,316424
5725967,6536086
5725967,818474
5725967,202988
5725967,4413806
5725967,5135599
5725967,6323236
6292377,3734429
1975742,2656612
1975742,4236888
1975742,5854541
728419,56621
1493432,4138638
5264689,3351110
518189,370181
2156572,370181
370181,6531948
4771220,233298
3373875,2630937
3373875,1885416
1962669,2746755
3203276,1191152
1852520,3682939
4948838,3168248
1481040,6304355
6145721,3734429
3413940,569382
842904,4261316
3160263,5653634
3160263,5697810
3160263,5920261
518189,1493432
2156572,1493432
1493432,6531948
1975742,1607488
1830537,6505889
6163541,370181
1749171,6151022
5328137,1191152
3410949,6304355
4672433,1191152
3150711,4261316
531273,6304355
3296775,3194983
2983439,3734429
3734429,5832208
1493432,6163541
6151022,233298
6271404,1975742
1975742,1979314
3373875,6167329
2180977,4534966
5725967,5590543
5725967,1826119
5264689,2081441
5264689,4149859
5264689,1803718
728419,5627791
3889557,5214514
3889557,2761458
160330,5214514
1191152,3101833
4637992,5600254
3734429,794708
634192,2054328
6373900,4116529
