vertex1,vertex2
5517262,483785
5328137,5474722
1601782,4637992
6293865,404429
5264689,1197058
728419,5569339
4510067,6022108
6204376,1156993
3409772,6117979
5264689,2571570
5725967,2054328
3373875,6304355
1601782,1722960
5517262,6163753
1601782,5600254
1962669,3784556
3373875,1852520
3160263,357808
1830537,1231856
6321633,4843694
5721984,5618209
2469248,5483374
3909031,5173706
671865,2408091
4510553,6259417
3160263,5946517
5608660,2686835
5706007,3746826
3160263,907675
3160263,6470832
5264689,6039777
1559813,2671707
39404,6005375
3373875,6585119
1601782,3101833
728419,2212571
3738107,2820081
1830537,6505889
4049134,4248485
3715834,5925111
3373875,3734429
1975742,1493432
2033145,6484001
2545879,1520542
2328115,2002510
724146,5862389
5643993,1912462
483785,6163753
3802490,3624769
250453,5471736
5086541,6382007
1962669,1040134
1975742,370181
3382618,4210193
3160263,6543719
6156590,6032325
4250904,4398579
2244875,4763250
1430229,6579903
5328137,2863924
253926,5302040
1975742,2180977
1601782,6291618
250453,4028963
5086541,2091918
5517262,3331324
4280405,2382372
5383644,84170
3123569,60685
1975742,1749171
3373875,160330
1975742,233298
4637992,1722960
4280405,1050162
6156590,4385658
3160263,6299391
1150872,1364128
728419,4044296
5264689,3574034
3987138,2176972
6204376,2476009
5725967,1768780
2436444,3217884
3160263,5688724
5264689,1306248
4036258,3545059
3373875,5214514
5264689,5421757
4280405,6321078
4036258,4383580
2296185,4497469
3373875,2761458
3590070,6299248
3837956,5441323
6148689,3728702
4670338,5950595
5253655,1622307
1222652,4598184
5510428,3882901
6460317,5244569
2718780,855806
3413940,999642
6321633,4036936
5291642,3480003
4799136,3919896
4280405,3448578
5086541,3797119
3160263,3529150
2659018,5070140
3160263,4886779
6321633,196019
1749171,1493432
1493432,370181
2490740,820610
3792598,4866768
4280405,1455344
6373900,4116529
6204376,5209159
3160263,3042349
2328115,2691372
2740677,4517490
1559813,1875319
2594159,4214205
1506594,50942
4447615,2185893
5687115,2664582
6321633,5201639
4821950,1207062
39404,4740311
4269944,453236
3413940,3712408
4089154,5353797
3373875,3811376
3925805,6460854
1222652,3409079
4303830,5208087
4116529,4841886
421447,3794139
3160263,2695608
5264689,2366109
3160263,6292161
2180977,370181
2244875,3579770
4203423,6060491
3413940,1713484
2436444,806770
6402191,4364290
39404,1318834
6083051,2809413
6293865,2116539
1559813,271106
6321633,5287523
4286334,5552190
3363591,1572701
5264689,6319554
60683,6335463
3382618,5153097
3689093,4085368
1830537,1476130
250453,5543118
4304857,5836002
3984340,2810666
1830537,3409787
1975742,4771220
4697485,5616001
1975742,842904
40709,3965961
1830537,6572910
5264689,5670972
